REGION,TECHNOLOGY,YEAR,VALUE
GLOBAL,PWRURNFJIXX01,2020,0
GLOBAL,PWRURNFJIXX01,2021,0
GLOBAL,PWRURNFJIXX01,2022,0
GLOBAL,PWRURNFJIXX01,2023,0
GLOBAL,PWRURNFJIXX01,2024,0
GLOBAL,PWRURNFJIXX01,2025,0.0
GLOBAL,PWRURNFJIXX01,2026,0.0
GLOBAL,PWRURNFJIXX01,2027,0.0
GLOBAL,PWRURNFJIXX01,2028,0.0
GLOBAL,PWRURNFJIXX01,2029,0.0
GLOBAL,PWRURNFJIXX01,2030,0.0
GLOBAL,PWRURNFJIXX01,2031,0.0
GLOBAL,PWRURNFJIXX01,2032,0.0
GLOBAL,PWRURNFJIXX01,2033,0.0
GLOBAL,PWRURNFJIXX01,2034,0.0
GLOBAL,PWRURNFJIXX01,2035,0.0
GLOBAL,PWRURNFJIXX01,2036,0.0
GLOBAL,PWRURNFJIXX01,2037,0.0
GLOBAL,PWRURNFJIXX01,2038,0.0
GLOBAL,PWRURNFJIXX01,2039,0.0
GLOBAL,PWRURNFJIXX01,2040,0.0
GLOBAL,PWRURNFJIXX01,2041,0.0
GLOBAL,PWRURNFJIXX01,2042,0.0
GLOBAL,PWRURNFJIXX01,2043,0.0
GLOBAL,PWRURNFJIXX01,2044,0.0
GLOBAL,PWRURNFJIXX01,2045,0.0
GLOBAL,PWRURNFJIXX01,2046,0.0
GLOBAL,PWRURNFJIXX01,2047,0.0
GLOBAL,PWRURNFJIXX01,2048,0.0
GLOBAL,PWRURNFJIXX01,2049,0.0
GLOBAL,PWRURNFJIXX01,2050,0.0
GLOBAL,PWROCGFJIXX01,2020,0
GLOBAL,PWROCGFJIXX01,2021,0
GLOBAL,PWROCGFJIXX01,2022,0
GLOBAL,PWROCGFJIXX01,2023,0
GLOBAL,PWROCGFJIXX01,2024,0
GLOBAL,PWROCGFJIXX01,2025,0.0
GLOBAL,PWROCGFJIXX01,2026,0.0
GLOBAL,PWROCGFJIXX01,2027,0.0
GLOBAL,PWROCGFJIXX01,2028,0.0
GLOBAL,PWROCGFJIXX01,2029,0.0
GLOBAL,PWROCGFJIXX01,2030,0.0
GLOBAL,PWROCGFJIXX01,2031,0.0
GLOBAL,PWROCGFJIXX01,2032,0.0
GLOBAL,PWROCGFJIXX01,2033,0.0
GLOBAL,PWROCGFJIXX01,2034,0.0
GLOBAL,PWROCGFJIXX01,2035,0.0
GLOBAL,PWROCGFJIXX01,2036,0.0
GLOBAL,PWROCGFJIXX01,2037,0.0
GLOBAL,PWROCGFJIXX01,2038,0.0
GLOBAL,PWROCGFJIXX01,2039,0.0
GLOBAL,PWROCGFJIXX01,2040,0.0
GLOBAL,PWROCGFJIXX01,2041,0.0
GLOBAL,PWROCGFJIXX01,2042,0.0
GLOBAL,PWROCGFJIXX01,2043,0.0
GLOBAL,PWROCGFJIXX01,2044,0.0
GLOBAL,PWROCGFJIXX01,2045,0.0
GLOBAL,PWROCGFJIXX01,2046,0.0
GLOBAL,PWROCGFJIXX01,2047,0.0
GLOBAL,PWROCGFJIXX01,2048,0.0
GLOBAL,PWROCGFJIXX01,2049,0.0
GLOBAL,PWROCGFJIXX01,2050,0.0
GLOBAL,PWRCOAFJIXX01,2020,0
GLOBAL,PWRCOAFJIXX01,2021,0
GLOBAL,PWRCOAFJIXX01,2022,0
GLOBAL,PWRCOAFJIXX01,2023,0
GLOBAL,PWRCOAFJIXX01,2024,0
GLOBAL,PWRCOAFJIXX01,2025,0.0
GLOBAL,PWRCOAFJIXX01,2026,0.0
GLOBAL,PWRCOAFJIXX01,2027,0.0
GLOBAL,PWRCOAFJIXX01,2028,0.0
GLOBAL,PWRCOAFJIXX01,2029,0.0
GLOBAL,PWRCOAFJIXX01,2030,0.0
GLOBAL,PWRCOAFJIXX01,2031,0.0
GLOBAL,PWRCOAFJIXX01,2032,0.0
GLOBAL,PWRCOAFJIXX01,2033,0.0
GLOBAL,PWRCOAFJIXX01,2034,0.0
GLOBAL,PWRCOAFJIXX01,2035,0.0
GLOBAL,PWRCOAFJIXX01,2036,0.0
GLOBAL,PWRCOAFJIXX01,2037,0.0
GLOBAL,PWRCOAFJIXX01,2038,0.0
GLOBAL,PWRCOAFJIXX01,2039,0.0
GLOBAL,PWRCOAFJIXX01,2040,0.0
GLOBAL,PWRCOAFJIXX01,2041,0.0
GLOBAL,PWRCOAFJIXX01,2042,0.0
GLOBAL,PWRCOAFJIXX01,2043,0.0
GLOBAL,PWRCOAFJIXX01,2044,0.0
GLOBAL,PWRCOAFJIXX01,2045,0.0
GLOBAL,PWRCOAFJIXX01,2046,0.0
GLOBAL,PWRCOAFJIXX01,2047,0.0
GLOBAL,PWRCOAFJIXX01,2048,0.0
GLOBAL,PWRCOAFJIXX01,2049,0.0
GLOBAL,PWRCOAFJIXX01,2050,0.0
GLOBAL,PWRCOGFJIXX01,2020,0
GLOBAL,PWRCOGFJIXX01,2021,0
GLOBAL,PWRCOGFJIXX01,2022,0
GLOBAL,PWRCOGFJIXX01,2023,0
GLOBAL,PWRCOGFJIXX01,2024,0
GLOBAL,PWRCOGFJIXX01,2025,0.0
GLOBAL,PWRCOGFJIXX01,2026,0.0
GLOBAL,PWRCOGFJIXX01,2027,0.0
GLOBAL,PWRCOGFJIXX01,2028,0.0
GLOBAL,PWRCOGFJIXX01,2029,0.0
